MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3026886	Cdin1	CDAN1 interacting nuclease 1	2		erythrocyte differentiation			IBA	PTN002836884 Q9Y2V0 	J:161428 	
MGI:3026886	Cdin1	CDAN1 interacting nuclease 1	2		erythrocyte differentiation			ISO	Q9Y2V0 	J:164563 	
MGI:3026886	Cdin1	CDAN1 interacting nuclease 1	2		erythrocyte differentiation			ISS	Q9Y2V0 	J:342587 	
MGI:1933126	Cdk5rap3	CDK5 regulatory subunit associated protein 3	11		definitive erythrocyte differentiation			IMP		J:272566 	
MGI:1277162	Cdk6	cyclin dependent kinase 6	5		regulation of erythrocyte differentiation			IEA	ENSP00000397087 Q00534 	J:342605 	
MGI:1277162	Cdk6	cyclin dependent kinase 6	5		regulation of erythrocyte differentiation			ISO	Q00534 	J:164563 	
MGI:104982	Cebpg	CCAAT/enhancer binding protein gamma	7		enucleate erythrocyte differentiation			IMP		J:65668 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		erythrocyte differentiation			IDA		J:303757 	
MGI:1924209	Chmp5	charged multivesicular body protein 5	4		erythrocyte differentiation			IMP		J:303757 	
MGI:1306784	Cited2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	10		erythrocyte development	happens in liver		IMP	MGI:2385355 	J:149124 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte differentiation			IMP		J:293763 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte differentiation			IMP		J:303757 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte enucleation			IMP		J:132566 	
MGI:1927222	Diaph3	diaphanous related formin 3	14		erythrocyte enucleation			IMP		J:315605 	
MGI:99670	Dmtn	dematin actin binding protein	14		erythrocyte development			IMP		J:76575 	
MGI:1329019	Dnase2a	deoxyribonuclease II alpha	8		enucleate erythrocyte differentiation	results in the differentiation of enucleate erythrocyte		IMP	MGI:2449811 	J:69831 	
MGI:1330300	Dyrk3	dual-specificity tyrosine phosphorylation regulated kinase 3	1		erythrocyte differentiation			IDA		J:122691 	
MGI:1330300	Dyrk3	dual-specificity tyrosine phosphorylation regulated kinase 3	1		erythrocyte differentiation			ISO	O43781 	J:164563 	
MGI:3612340	Ehbp1l1	EH domain binding protein 1-like 1	19		erythrocyte differentiation			IMP		J:340074 	
MGI:109169	Epas1	endothelial PAS domain protein 1	17		erythrocyte differentiation	happens in bone marrow,results in the differentiation of erythrocyte		IMP	MGI:3710344 	J:119731 	
MGI:95402	Epb42	erythrocyte membrane protein band 4.2	2		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:95407	Epo	erythropoietin	5		erythrocyte differentiation			IDA		J:98445 	
MGI:95407	Epo	erythropoietin	5		erythrocyte differentiation			ISO	P01588 	J:164563 	
MGI:95407	Epo	erythropoietin	5		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:95413	Ercc2	excision repair cross-complementing rodent repair deficiency, complementation group 2	7		erythrocyte maturation			IMP	MGI:2183949 	J:116054 	
MGI:95455	Ets1	E26 avian leukemia oncogene 1, 5' domain	9		positive regulation of erythrocyte differentiation			ISO	P14921 	J:164563 	
MGI:95455	Ets1	E26 avian leukemia oncogene 1, 5' domain	9		positive regulation of erythrocyte differentiation			ISS	P14921 	J:342587 	
MGI:99253	Etv2	ets variant 2	7		erythrocyte differentiation			IMP	MGI:4415819 	J:155850 	
MGI:1351611	Exoc6	exocyst complex component 6	19		erythrocyte differentiation	results in the differentiation of erythrocyte		IMP	MGI:1856894 	J:8251 	
MGI:1914267	Fam210b	family with sequence similarity 210, member B	2		erythrocyte differentiation			IMP		J:351618 	
MGI:1914267	Fam210b	family with sequence similarity 210, member B	2		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:1914267	Fam210b	family with sequence similarity 210, member B	2		positive regulation of erythrocyte differentiation			ISO	Q96KR6 	J:164563 	
MGI:1914267	Fam210b	family with sequence similarity 210, member B	2		positive regulation of erythrocyte differentiation			ISS	Q96KR6 	J:342587 	
MGI:95513	Fech	ferrochelatase	18		erythrocyte differentiation			IMP	MGI:1858114 	J:2021 	
MGI:2444881	Flvcr1	feline leukemia virus subgroup C cellular receptor 1	1		erythrocyte differentiation			IBA	MGI:2444881 PTN002589204 Q9Y5Y0 	J:161428 	
MGI:2444881	Flvcr1	feline leukemia virus subgroup C cellular receptor 1	1		erythrocyte differentiation			IMP	MGI:3776022 	J:132057 	
MGI:2444881	Flvcr1	feline leukemia virus subgroup C cellular receptor 1	1		erythrocyte differentiation			ISO	Q9Y5Y0 	J:73065 	
MGI:2444881	Flvcr1	feline leukemia virus subgroup C cellular receptor 1	1		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:1890081	Foxo3	forkhead box O3	10		positive regulation of erythrocyte differentiation			ISO	O43524 	J:73065 	
MGI:105977	G6pd2	glucose-6-phosphate dehydrogenase 2	5		erythrocyte maturation			ISO	P11413 	J:164563 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte development			IMP	MGI:2182739 	J:95754 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte development			IMP		J:94894 	
MGI:105979	G6pdx	glucose-6-phosphate dehydrogenase X-linked	X		erythrocyte maturation			ISO	P11413 	J:164563 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte development			IEA	ENSP00000365858 P15976 	J:342605 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte development			ISO	P15976 	J:164563 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation			IDA		J:45321 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation			IGI	MGI:1095400 	J:41622 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation			IMP	MGI:2179748 	J:1557 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation	results in the differentiation of erythrocyte		IMP	MGI:2179748 	J:22558 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation	happens in liver,results in the differentiation of erythrocyte		IMP	MGI:2179748 	J:36462 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation			IMP	MGI:2429992 	J:47295 	
MGI:95661	Gata1	GATA binding protein 1	X		erythrocyte differentiation			IMP		J:172911 	
MGI:95661	Gata1	GATA binding protein 1	X		positive regulation of erythrocyte differentiation			IEA	ENSP00000365858 P15976 	J:342605 	
MGI:95661	Gata1	GATA binding protein 1	X		positive regulation of erythrocyte differentiation			ISO	P15976 	J:164563 	
MGI:95661	Gata1	GATA binding protein 1	X		primitive erythrocyte differentiation	happens in extraembryonic component,results in the differentiation of primitive red blood cell		IMP	MGI:3038080 	J:40321 	
MGI:95661	Gata1	GATA binding protein 1	X		regulation of definitive erythrocyte differentiation			IDA		J:175208 	
MGI:95661	Gata1	GATA binding protein 1	X		regulation of definitive erythrocyte differentiation			ISO	P15976 	J:164563 	
MGI:95661	Gata1	GATA binding protein 1	X		regulation of primitive erythrocyte differentiation			IGI	MGI:95662 	J:87696 	
MGI:95662	Gata2	GATA binding protein 2	6		positive regulation of erythrocyte differentiation			IDA		J:129434 	
MGI:95662	Gata2	GATA binding protein 2	6		regulation of primitive erythrocyte differentiation			IGI	MGI:95661 	J:87696 	
MGI:95663	Gata3	GATA binding protein 3	2		erythrocyte differentiation			IDA		J:47295 	
MGI:1276578	Gfi1b	growth factor independent 1B	2		regulation of erythrocyte differentiation			IMP		J:175166 	
MGI:95739	Glul	glutamate-ammonia ligase	1		positive regulation of erythrocyte differentiation			IMP		J:359785 	
MGI:3801763	Gm15915	predicted gene 15915	10		erythrocyte differentiation			IMP		J:340249 	
MGI:3801763	Gm15915	predicted gene 15915	10		erythrocyte maturation			IMP		J:340249 	
MGI:96015	Hba-a1	hemoglobin alpha, adult chain 1	11		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96016 	J:28392 	
MGI:96016	Hba-a2	hemoglobin alpha, adult chain 2	11		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96015 	J:28392 	
MGI:96019	Hba-x	hemoglobin X, alpha-like embryonic chain in Hba complex	11		erythrocyte maturation	results in the maturation of erythroid progenitor cell,results in the maturation of erythrocyte		IMP		J:19573 	
MGI:96021	Hbb-b1	hemoglobin, beta adult major chain	7		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96022 	J:30155 	
MGI:96022	Hbb-b2	hemoglobin, beta adult minor chain	7		erythrocyte development	results in the development of erythrocyte		IGI	MGI:96021 	J:30155 	
MGI:96022	Hbb-b2	hemoglobin, beta adult minor chain	7		regulation of erythrocyte differentiation	regulates erythrocyte differentiation		IMP		J:169076 	
MGI:104568	Hcls1	hematopoietic cell specific Lyn substrate 1	16		erythrocyte differentiation			IMP		J:116375 	
MGI:1333752	Hdac6	histone deacetylase 6	X		erythrocyte enucleation			IMP		J:315605 	
MGI:2444491	Heatr3	HEAT repeat containing 3	8		erythrocyte maturation			ISO	Q7Z4Q2 	J:164563 	
MGI:2444491	Heatr3	HEAT repeat containing 3	8		erythrocyte maturation			ISS	Q7Z4Q2 	J:342587 	
MGI:1332240	Heph	hephaestin	X		erythrocyte differentiation			IMP	MGI:1857042 	J:64261 	
MGI:106918	Hif1a	hypoxia inducible factor 1, alpha subunit	12		positive regulation of erythrocyte differentiation			IMP	MGI:1857719 	J:116886 	
MGI:96160	Hmga1	high mobility group AT-hook 1	17		erythrocyte differentiation			IMP	MGI:3697313 	J:117493 	
MGI:96157	Hmgb2	high mobility group box 2	8		positive regulation of erythrocyte differentiation			IEA	ENSP00000296503 P26583 	J:342605 	
MGI:96157	Hmgb2	high mobility group box 2	8		positive regulation of erythrocyte differentiation			ISO	P26583 	J:164563 	
MGI:1858195	Hnrnpu	heterogeneous nuclear ribonucleoprotein U	1		erythrocyte differentiation			IMP		J:326412 	
MGI:96177	Hoxa5	homeobox A5	6		negative regulation of erythrocyte differentiation			IEA	ENSP00000222726 P20719 	J:342605 	
MGI:96177	Hoxa5	homeobox A5	6		negative regulation of erythrocyte differentiation			ISO	P20719 	J:164563 	
MGI:2141135	Hscb	HscB iron-sulfur cluster co-chaperone	5		primitive erythrocyte differentiation			IMP		J:290037 	
MGI:99517	Hspa1b	heat shock protein 1B	17		positive regulation of erythrocyte differentiation			ISO	P0DMV9 	J:164563 	
MGI:96245	Hspa9	heat shock protein 9	18		erythrocyte differentiation			ISO	P38646 	J:164563 	
MGI:96245	Hspa9	heat shock protein 9	18		erythrocyte differentiation			ISS	P38646 	J:342587 	
MGI:96245	Hspa9	heat shock protein 9	18		negative regulation of erythrocyte differentiation			ISO	P38646 	J:164563 	
MGI:96245	Hspa9	heat shock protein 9	18		negative regulation of erythrocyte differentiation			ISS	P38646 	J:342587 	
MGI:96245	Hspa9	heat shock protein 9	18		regulation of erythrocyte differentiation			ISO	P38646 	J:164563 	
MGI:96245	Hspa9	heat shock protein 9	18		regulation of erythrocyte differentiation			ISS	P38646 	J:342587 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		enucleate erythrocyte differentiation			IGI	MGI:97874 	J:95106 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		erythrocyte differentiation	results in the differentiation of erythrocyte		IMP	MGI:2384134 	J:138413 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		positive regulation of erythrocyte differentiation	happens in bone marrow,positively regulates erythrocyte differentiation,happens in thymus,positively regulates erythrocyte differentiation,happens in spleen,positively regulates erythrocyte differentiation		IMP	MGI:2384134 	J:138413 	
MGI:1342540	Ikzf1	IKAROS family zinc finger 1	11		erythrocyte differentiation			ISO	Q13422 	J:164563 	
MGI:1342540	Ikzf1	IKAROS family zinc finger 1	11		erythrocyte differentiation			ISS	Q13422 	J:342587 	
MGI:96570	Inhba	inhibin beta-A	13		positive regulation of erythrocyte differentiation			ISO	P08476 	J:164563 	
MGI:96570	Inhba	inhibin beta-A	13		positive regulation of erythrocyte differentiation			ISS	P08476 	J:342587 	
MGI:107357	Inpp5d	inositol polyphosphate-5-phosphatase D	1		positive regulation of erythrocyte differentiation			IMP	MGI:2386884 	J:48193 	
MGI:1855694	Isg15	ISG15 ubiquitin-like modifier	4		positive regulation of erythrocyte differentiation			IMP		J:178099 	
MGI:96629	Jak2	Janus kinase 2	19		erythrocyte differentiation			IBA	MGI:96629 PTN000700625 	J:161428 	
MGI:96629	Jak2	Janus kinase 2	19		erythrocyte differentiation			IMP		J:47298 	
MGI:96629	Jak2	Janus kinase 2	19		erythrocyte differentiation			IMP		J:47299 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		erythrocyte development	happens in liver,results in the development of erythroblast		IMP	MGI:3043930 	J:90288 	
MGI:1858910	Jmjd6	jumonji domain containing 6	11		erythrocyte development	happens in liver,results in the development of erythroblast		IMP	MGI:3580706 	J:98905 	
MGI:2182799	Kat7	K(lysine) acetyltransferase 7	11		positive regulation of erythrocyte differentiation			IMP		J:177092 	
MGI:108083	Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	7		erythrocyte differentiation			IMP	MGI:2680653 	J:104389 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		positive regulation of erythrocyte differentiation			IMP		J:175166 	
MGI:1196256	Kdm1a	lysine (K)-specific demethylase 1A	4		regulation of primitive erythrocyte differentiation			IMP		J:175166 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		erythrocyte differentiation			IMP		J:79128 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		erythrocyte differentiation			TAS		J:110595 	
MGI:1342771	Klf1	Kruppel-like transcription factor 1 (erythroid)	8		erythrocyte development			IMP	MGI:1857162 	J:99174 	
MGI:1342771	Klf1	Kruppel-like transcription factor 1 (erythroid)	8		erythrocyte development			IMP	MGI:1857557 	J:25650 	
MGI:1342771	Klf1	Kruppel-like transcription factor 1 (erythroid)	8		erythrocyte differentiation			IMP		J:192660 	
MGI:1342771	Klf1	Kruppel-like transcription factor 1 (erythroid)	8		erythrocyte differentiation			ISO	Q13351 	J:164563 	
MGI:1342771	Klf1	Kruppel-like transcription factor 1 (erythroid)	8		erythrocyte maturation	happens in blood,results in the maturation of erythrocyte		IMP		J:25651 	
MGI:1342772	Klf2	Kruppel-like transcription factor 2 (lung)	8		erythrocyte maturation			IMP	MGI:3047647 	J:119377 	
MGI:1354948	Klf13	Kruppel-like transcription factor 13	7		negative regulation of erythrocyte differentiation			IMP		J:136545 	
MGI:1924825	Kmt2e	lysine (K)-specific methyltransferase 2E	5		erythrocyte differentiation			IMP		J:145445 	
MGI:2143628	L3mbtl3	L3MBTL3 histone methyl-lysine binding protein	10		erythrocyte maturation			IDA		J:98498 	
MGI:894762	Ldb1	LIM domain binding 1	19		negative regulation of erythrocyte differentiation			IMP		J:118839 	
MGI:894762	Ldb1	LIM domain binding 1	19		primitive erythrocyte differentiation			TAS		J:164497 	
MGI:102811	Lmo2	LIM domain only 2	2		negative regulation of erythrocyte differentiation			IMP		J:118839 	
MGI:107470	Lyar	Ly1 antibody reactive clone	5		erythrocyte development			ISO	Q9NX58 	J:164563 	
MGI:107470	Lyar	Ly1 antibody reactive clone	5		erythrocyte development			ISS	Q9NX58 	J:342587 	
MGI:96892	Lyn	LYN proto-oncogene, Src family tyrosine kinase	4		erythrocyte differentiation			IMP		J:116375 	
MGI:96892	Lyn	LYN proto-oncogene, Src family tyrosine kinase	4		regulation of erythrocyte differentiation			IMP		J:178285 	
MGI:1891748	Maea	macrophage erythroblast attacher	5		enucleate erythrocyte development			IMP	MGI:3691058 	J:114865 	
MGI:1891748	Maea	macrophage erythroblast attacher	5		erythrocyte development			IMP	MGI:3691058 	J:114865 	
MGI:1891748	Maea	macrophage erythroblast attacher	5		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:104555	Mafb	MAF bZIP transcription factor B	2		negative regulation of erythrocyte differentiation			IEA	ENSP00000362410 Q9Y5Q3 	J:342605 	
MGI:104555	Mafb	MAF bZIP transcription factor B	2		negative regulation of erythrocyte differentiation			ISO	Q9Y5Q3 	J:164563 	
MGI:1346865	Mapk14	mitogen-activated protein kinase 14	17		positive regulation of erythrocyte differentiation	happens in liver		IMP	MGI:2177830 	J:63425 	
MGI:1346865	Mapk14	mitogen-activated protein kinase 14	17		positive regulation of erythrocyte differentiation			ISO	Q16539 	J:164563 	
MGI:96922	Mb	myoglobin	15		enucleate erythrocyte differentiation			IMP	MGI:2159004 	J:95767 	
MGI:1100846	Med1	mediator complex subunit 1	11		enucleate erythrocyte development			IMP	MGI:2176073 MGI:3511276 	J:167145 	
MGI:1100846	Med1	mediator complex subunit 1	11		erythrocyte development			IMP	MGI:1861125 	J:118300 	
MGI:1100846	Med1	mediator complex subunit 1	11		erythrocyte development			IMP		J:74328 	
MGI:1100846	Med1	mediator complex subunit 1	11		positive regulation of erythrocyte differentiation			ISO	Q15648 	J:164563 	
MGI:1100846	Med1	mediator complex subunit 1	11		positive regulation of erythrocyte differentiation			ISS	Q15648 	J:342587 	
MGI:1098644	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	8		erythrocyte differentiation			ISO	Q9Y4C4 	J:164563 	
MGI:1098644	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	8		erythrocyte differentiation			ISS	Q9Y4C4 	J:342587 	
MGI:2676805	Mir122	microRNA 122	18		erythrocyte differentiation			IGI	MGI:2676805 	J:172025 	
MGI:2676809	Mir125a	microRNA 125a	17		regulation of erythrocyte differentiation	regulates erythrocyte differentiation		IDA		J:163607 	
MGI:2676829	Mir144	microRNA 144	11		erythrocyte differentiation			IGI	MGI:3619412 	J:290749 	
MGI:2676829	Mir144	microRNA 144	11		erythrocyte differentiation			IGI	MGI:5562734 	J:290749 	
MGI:3619412	Mir451a	microRNA 451a	11		erythrocyte differentiation			IGI	MGI:2676829 	J:290749 	
MGI:3619412	Mir451a	microRNA 451a	11		erythrocyte differentiation			IGI	MGI:5562734 	J:290749 	
MGI:5562734	Mir451b	microRNA 451b	11		erythrocyte differentiation			IGI	MGI:2676829 	J:290749 	
MGI:5562734	Mir451b	microRNA 451b	11		erythrocyte differentiation			IGI	MGI:3619412 	J:290749 	
MGI:2146995	Mpig6b	megakaryocyte and platelet inhibitory receptor G6b	17		erythrocyte differentiation			ISO	O95866 	J:164563 	
MGI:2146995	Mpig6b	megakaryocyte and platelet inhibitory receptor G6b	17		erythrocyte differentiation			ISS	O95866 	J:342587 	
MGI:97249	Myb	myeloblastosis oncogene	10		erythrocyte differentiation			ISO	P10242 	J:164563 	
MGI:4414022	n-TUtca2	nuclear encoded tRNA selenocysteine 2 (anticodon TCA)	7		erythrocyte differentiation			IMP		J:301961 	
MGI:1923294	Ncapg2	non-SMC condensin II complex, subunit G2	12		erythrocyte differentiation			IDA		J:110595 	
MGI:1923294	Ncapg2	non-SMC condensin II complex, subunit G2	12		erythrocyte differentiation			TAS		J:110595 	
MGI:1926063	Nckap1l	NCK associated protein 1 like	15		erythrocyte development			IEA	P55160 ENSP00000293373 	J:342605 	
MGI:1926063	Nckap1l	NCK associated protein 1 like	15		positive regulation of erythrocyte differentiation			IMP		J:141377 	
MGI:1349717	Ncor1	nuclear receptor co-repressor 1	11		definitive erythrocyte differentiation	happens in liver,results in the differentiation of erythrocyte		IMP	MGI:2677822 	J:65417 	
MGI:2446113	Nemp1	nuclear envelope integral membrane protein 1	10		erythrocyte enucleation			IMP		J:330921 	
MGI:2446113	Nemp1	nuclear envelope integral membrane protein 1	10		erythrocyte maturation			IMP		J:330921 	
MGI:99421	Nfe2l1	nuclear factor, erythroid derived 2,-like 1	11		erythrocyte differentiation	happens in testicular artery		IMP	MGI:2385929 	J:46990 	
MGI:1921693	P4htm	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	9		regulation of erythrocyte differentiation			IBA	MGI:1921693 PTN002586986 	J:161428 	
MGI:1921693	P4htm	prolyl 4-hydroxylase, transmembrane (endoplasmic reticulum)	9		regulation of erythrocyte differentiation			IMP	MGI:5583029 	J:213191 	
MGI:1201409	Pknox1	Pbx/knotted 1 homeobox	17		erythrocyte differentiation	happens in blood,results in the differentiation of erythrocyte		IMP	MGI:3530910 	J:111418 	
MGI:1347522	Pla2g10	phospholipase A2, group X	16		erythrocyte maturation			IMP	MGI:4412409 	J:232433 	
MGI:97613	Plcb1	phospholipase C, beta 1	2		erythrocyte differentiation			TAS		J:169984 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		positive regulation of erythrocyte differentiation			IMP		J:287062 	
MGI:107846	Prmt1	protein arginine N-methyltransferase 1	7		positive regulation of erythrocyte differentiation			IEA	ENSP00000406162 Q99873 	J:342605 	
MGI:107846	Prmt1	protein arginine N-methyltransferase 1	7		positive regulation of erythrocyte differentiation			ISO	Q99873 	J:164563 	
MGI:1923334	Ptbp3	polypyrimidine tract binding protein 3	4		erythrocyte maturation			IEA	KW-0265 	J:60000 	
MGI:97806	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	18		erythrocyte differentiation			IMP		J:42595 	
MGI:97845	Rac1	Rac family small GTPase 1	5		erythrocyte enucleation			IMP		J:132566 	
MGI:97846	Rac2	Rac family small GTPase 2	15		erythrocyte enucleation			IMP		J:132566 	
MGI:1349423	Racgap1	Rac GTPase-activating protein 1	15		erythrocyte differentiation			ISO	Q9H0H5 	J:164563 	
MGI:1349423	Racgap1	Rac GTPase-activating protein 1	15		erythrocyte differentiation			ISS	Q9H0H5 	J:342587 	
MGI:97874	Rb1	RB transcriptional corepressor 1	14		enucleate erythrocyte differentiation			IGI	MGI:96397 	J:95106 	
MGI:1933973	Rbfox2	RNA binding protein, fox-1 homolog (C. elegans) 2	15		regulation of definitive erythrocyte differentiation			IDA		J:129953 	
MGI:106340	Rcor1	REST corepressor 1	12		erythrocyte differentiation			IMP	MGI:5581675 	J:211681 	
MGI:106340	Rcor1	REST corepressor 1	12		erythrocyte differentiation			IMP		J:175166 	
MGI:1202713	Rhag	Rhesus blood group-associated A glycoprotein	17		erythrocyte development			IMP	MGI:5318589 	J:182122 	
MGI:1202882	Rhd	Rh blood group, D antigen	4		erythrocyte development			IMP	MGI:5318588 	J:182122 	
MGI:98159	Rps6	ribosomal protein S6	4		erythrocyte development			IMP	MGI:2387471 	J:117590 	
MGI:98107	Rps14	ribosomal protein S14	18		erythrocyte differentiation			IEA	ENSP00000385425 P62263 	J:342605 	
MGI:98107	Rps14	ribosomal protein S14	18		erythrocyte differentiation			ISO	P62263 	J:164563 	
